index,disease_name,supplement name,supplement image,buy link
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRO2FK6IsSuUuQQ0ehzVKIsEdgjCGbMq2nBmOsUp38ajgm8dPwR9MvTBL9_PFRZVRkbtiAzdwP8lwGlrR1c7axKHE6VALk6l3X4Snu9HWFCKpVCFYly65Bs&usqp=CAE,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRC_8hhC12Kbw0e0w-afXO9kzWJHG1LchaIa66xnIpU6OmZLnY3OzCrRd2ilBS9bSjI9jQI0hJ6Z20SUk7nf7uCukqv77aTun147K5g2Ec&usqp=CAE,https://www.flipkart.com/biomass-lab-sampoorn-fasal-ahaar-multipurpose-organic-fertilizer-plant-food-1-kg-fertilizer-manure/p/itm69c56f2e19c6a?pid=SMNFM3999GGTXFJZ&lid=LSTSMNFM3999GGTXFJZPRQ8CT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://images-na.ssl-images-amazon.com/images/I/51s1IbUD-qL.jpg,https://www.cart2india.com/beneficial-insects/southern-ag-captan-50-wp-fungicide-8-oz/00000000004336428163
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://www.kissanghar.pk/assets/img/product/54361720230305631.jpg,https://www.kissanghar.pk/product-details?name=Aliette-80%-Wp-250gm-Fungicide-Fosetyl-Aluminum-80%-Bayer-Alliet-Eliet&c=299
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPzI0SnMtb60x2D1gGkRHsvD1j7NRl8Y7pjuIyuyrTxdpvUOpci7NxHWxt4Gfn3ETrCrgWKvGPH-jmbboE2vi4b4MiTq3kZKMdHFUSctUmXcH9ZRed0j4-&usqp=CAE,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://rukminim1.flixcart.com/image/416/416/k51cpe80/soil-manure/4/m/h/400-grapes-fertilizer-sansar-green-original-imafntdujntbdner.jpeg?q=70,"https://www.flipkart.com/sansar-green-grapes-fertilizer/p/itm90f06136b50c7?pid=SMNFNT8F7FCQJ4MH&lid=LSTSMNFNT8F7FCQJ4MHMXEELG&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_0d3lBg14nXBbhJeTP7z5mqzpyHXmv4c7cL9mW4MqCBlnskpoMB8C0aArWREALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://rukminim1.flixcart.com/image/416/416/ju79hu80/soil-manure/x/m/b/400-citrus-plant-food-green-dews-original-imaffbxhn3rz8k5p.jpeg?q=70,https://www.flipkart.com/green-dews-citrus-plant-food-fertilizer/p/itmffde2heg7hkq2?pid=SMNFFBY9Z8DVTXMB&lid=LSTSMNFFBY9Z8DVTXMBEL4PDT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ5shxq773t5Lmux-hhShKezjR64Af41W6NdhsDMXI-dNSAVvfY45rb5iHxMaqZXBdtFnfuiIcN8PdQ06YcYZi3gq6Uow-j&usqp=CAE,https://www.bighaat.com/products/score-fungicide?variant=27949138149399&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),"https://m.media-amazon.com/images/I/51Q8H8HmAeL._AC_UF1000,1000_QL80_.jpg",https://www.amazon.in/Sattvam-India-Jeevamrut-Organic-2/dp/B081N4TSFB
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQNEP3gEC77FdOUBy_xUgIbq7UU_N2TX1zRwCFvtl02Kz5-a6X2ZhXPAhf9y0kLieGR2VTVarUnZP_JMs0kFtEw-LqJwVSMHsjGP4Bz9scPPIB6NCLtcD7JNA&usqp=CAE,https://agribegri.com/products/buy-systemic-fungicide-online--tetraconazole-38--domark-.php
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://cdn.shopify.com/s/files/1/1489/8850/products/Organic_Potash-1_869x869.jpg?v=1583399466,https://www.casagardenshop.com/products/organic-potash-fertilizer-for-gardening-improves-size-of-flowers-fruits-and-vegetables-by-casa-de-amor-1-kg-1?variant=40073291088&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQzAaBb9Tc2B0iXiYc08qD2WM4vjAz4TZHI6qwj-D7nck2bbtYQUnnODSqPSK_Vz5NR1Am8aRbc2Rd0anzqgVKWq-0OlZ6wkjE-3x0jXihQ9F0kO8nJu7FT&usqp=CAE,https://agribegri.com/products/buy-herbal-fungicide-online-india--buy-pesticides-online.php
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://krushikendra.com/image/cache/catalog/syngenta/RIDOMIL-GOLD-800x800.jpg,https://krushikendra.com/Buy-Syngenta-Ridomil-gold-Fungicide-250%20gram
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://rukminim1.flixcart.com/image/416/416/kfvfwy80/soil-manure/6/p/g/30-fertilizer-for-potato-saosis-original-imafw8b3sgcyrhh4.jpeg?q=70,"https://www.flipkart.com/saosis-fertilizer-potato/p/itmc40dfbfcd49f7?pid=SMNFW8B3DTY2V6PG&lid=LSTSMNFW8B3DTY2V6PGHC2BXS&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_3TcmjyWFqJEZtCD0SQiDb9UFyESkiYtgU35W5Qs_KnTCkDS_Px2Y4aArmBEALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://s3.images-iherb.com/jte/jte29001/v/6.jpg,https://in.iherb.com/pr/Karen-s-Naturals-Organic-Just-Raspberries-1-5-oz-42-g/37730?gclsrc=ds
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRyFZFHGj1Wi0fabSOYVadCnsg8UdvhpKOHI6gxmItDLmz7RdC67HFFNyU7PYyD6SnlgXOs31yW_8-YWJKOeal7K4UQ3lAIxef-4x350ac&usqp=CAE,https://agribegri.com/products/max-crop-1-litre.php
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://cdn.shopify.com/s/files/1/1667/9587/products/415B_2BfINScL.jpg?v=1536320654,https://kiron.co.in/products/B0068WMLE2
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSV3dLQAuhGWWsZSX3Ray15J_uSeFgSo7oLE0G2BxPFSwVNnOUY7VsBbLzDbw_mzUw3ZFLaF4kPWPyzatefP2bnSZwEbwrYnGGYgEl8rS6XWmwRnloOWnwy&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-online--organic-fungicide-with-best-rate-.php
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://rukminim1.flixcart.com/image/416/416/k2urhjk0/soil-manure/q/y/d/500-organic-plant-growth-promoter-strawberry-swiss-green-original-imafm3vx8mzyhxzg.jpeg?q=70,https://www.flipkart.com/swiss-green-organic-plant-growth-promoter-strawberry-fertilizer-manure/p/itmcaf7955b802fa?pid=SMNFM3TT2RNZEQYD&lid=LSTSMNFM3TT2RNZEQYDIGMSRD&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRKHQh4EwbE0ksZ_RTOhsGtvTO68zllR9djrYvUrZ-DO6FYo2kYpmyFL8UgaK6aiHJuUWbkax_uhcxMpGfwSHa2CKWqaIZnFp1vIRbGkrZhtGv-Zq-72y61&usqp=CAE,https://agribegri.com/products/cureal---best-fungicide--bactericide-zinc-based-250-ml.php
30,Tomato___Early_blight,NATIVO FUNGICIDE,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBUUFBQUFBUYGBcaGx4XGxoVGxgXFxcXFxcaGBgXFxcbICwkGyApHhsXJTYlKi4yNDM0GiQ5PjkxPSwyMzABCwsLEA4QHRISHTIpICkyMDIyMjIyMjQyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMv/AABEIAOEA4QMBIgACEQEDEQH/xAAcAAEAAgMBAQEAAAAAAAAAAAAABAUCAwYHAQj/xABFEAACAQIDAgkHCgUDBQEAAAAAAQIDEQQSIQUxBhMiQVFhcYGRBzKSobHB0RVCUmJygqLS4fAUM0OywiQ1YyVzs+LxI//EABoBAQADAQEBAAAAAAAAAAAAAAABAgMEBQb/xAAyEQACAQIDAwoGAwEAAAAAAAAAAQIDEQQhMRJBkQUiMlFhgaHB0fAUM1JxsfET0uFi/9oADAMBAAIRAxEAPwD2YAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA56pwuwyeWLnN3taEHr6Vi/luZRUcBSp/y6cY9kJ38W7gGUNvt7qUkvrOz8LGfy30w9fhzHy3UvRn+Ywkl0L0ZfmJINkduX+Z+L9DZDa9/mev9CMsv0V6L+J94xdC9F/EmwJq2lpfJ6/0NdTbMV82/f8AoR/4hdXov4iEYz+ZFvpdO/tkQCRHbMXuhJ9hqfCCCdnTmu3Kvaz7DDxX9OPdTivXmZg4xvyowt9aEPzAk+V+EtKCu4VO5Q/MYQ4V0Gr5ai7Yr3SPk6dJ/MpPsjR9TZi+L3Wj3RoogG1cKsP/AMi7YMyjwpwj31Gu2FRf4kdun0R8KR8XF9EfCl8ADfU4W4OP9RvshU/KXVOaklJappNPpT1RRLJzRj3cWmX1PcuxewAzAAAAAAAAAAAAAAAAAAAAAKelOMrqVrptO/SnbuLg5ucrVai+s346+8lAsHTX/wAsbaFBO+u4gxkZOs7WAN06faa5Ues1qszJVwBHC3aXSS5YWEfOlp0JL33NcMRFNSbSS3nOY/hKmnUp05SpNq1STyQnd2WSylOS6JKGVppptAFvXr62joYKrLnZT0NqJygpwlTU8uSbcZUqjl5sYzWsZPSymo3vZXZZNkkG2VJPfr2tv27jTKDj5vx9pshM23TIBFhC/nO5Lp4ePTZGqceg1OMiQTqtSnTi3FZpW3tL2FzDcuw5iNNzag9MzS8WdUQyQACAAAAAAAAAAAAAAAAAAADj9r4yNPFSjN5c6TTfmu0Umr8z7ek7A8q8qteVPEUXF+dT1T3O0n+hWbklzde0zqz2I7R2iZhKR5fs/hHKnonKH2Xmj3xfwZ0eB4XX0lkn2ciXh+hz/GbPzIOPbquK9DGOLhLXL3x8Dq7ny5XUNu0Zb24PrWnir+snQqRkrxkpLpi014o6KdaFToST+xvGSloyq2/VjanTqa05yvUitc8I2Sp2vulUnSTT0ccyejIW1Np06kHThPLO0Zt5c8qccyTkqau3JOUI2tpxiepP23SclTnGGfi5XlTsnxlOUXGcEmtWuTNLndNLS5B2lOE6EZ0ZPLn/AKMXJrJCblHJFXTWWzja6atbo0ZYzltKk6Tp1KU1BviJRhGOXNHPGUadpXtF05JNa3y2RY7MqTnRpubzTScJS3Zp05OnKVua7i33mvEYmNNKEIRnXnG8Ycm8rqzqVGr5aavyp6rWyzOSTnYHC8XTp003LLFRcnvk0tZO3O3dvtAPmVmyFOR8rYmEPPnGPU3r6O8h1uENKPmRc+vzY+L19RjUxFKn05Jd+fDUpKcY6suIU7IzlZK7OKxnDB6pShD7Kzy73qvUjnNocI5T35pfblZLsjqYfFuXy4N9vRXF5+BhPGU46ZnpWH2hCeIp04TjJqV2ou9rJ72tDqjyPyZYidXFTct0UtErLWNT3pHrh0U3Jx5yz7DelPbipAAFzQAAAAAAAAAAAAAAAAAAHlvlip8rCT6qkfBwfvPUjznyw0//AMcNLoqSj6Ub/wCJD0McQr05HmCDPiZFxWKlGcYRhmcrWSu2220kkt7fvEIObtHU8eNNzlZFjTxs4bpu3Q9V4Mm0Nuyg72s/pQbiznZV6uacOJeeCcqkcs81OMbZpTVrxSurt7rmqOJquEqipXpwaUppScIOXmqUtyb6yJ8nKbu4ril+MzoWGqr9ne4PhZPS879VWNvxL4lxR2nh6r4ydCLm1Z1KeVykluTkrO3VdnncNn45q6wNZpq6fE1bNdO4jRxGISzqjJLJxuZRmlxV8rqXT8y+mbcV+CrroT4tS/03isRH9npj29SoqSo0qVFSeZ7k5S+lJK15dbuVGM4Uzn8+cl0R5Ee+1m/A4WOOrOKnxV4OWRStPLKpZPIpbnKzTtv1JtaGLpuCqYWpTc/MzwqRzvfaN1q7a2IfJ9WXzJt9iaiuCfmUnHEy/Zcz2rLmSj634vT1EStiZT86Tffp4biJRquUVJtR+q076Nprfv0Cnv5S0379PAU8JGllCKXvr18S65Ix00moXT/6j/Y3OSsaKsjdWpzg3CpHLOOjjfddJ2fXrr1kSrIlNPNHnbDjJxeqPR/I/SvKtPqt4Wt/cz1U878kVC1GrLpkven/AGo9ELrQ9ykrQS7AACTQAAAAAAAAAAAAAAAAAAHCeVqnfB039GtHwcJr4HdnE+Vdf9Pk+ipTfjLL7yGQ4ba2es8dg9DTQf8ArcJ/3KP/AJjVSxf0l4fA+YnDqpJSjNKyt9bRt33ovRajLPqZ50KM8PU2qisuvVeHnY7evUp15bVrK0a1KjisPUilbjKak+JrLrUYOnL7Md1zRsujRp0qGAqVlTniKcnUpuE23UxWR0JOVssZQUKVk+l9JxXya73z9u/XpvrqJbM1fK061f131Oi9PTb8H6HSsVS+r8+hbVJ1aezKkZSnGcMcqcuVLNFxw9RShe+5NMtKOKjCrsmNT+VVwfEVFzOnWnUp69Sk4v7pyfyT9b8P6n35H+t+H/2LupSesuvc96+xHxNLr8H6HZYPJhsbgcFKUU6FOV5N8lY3EU5TTbejSbpRT5nYg4OlisNhMfLFqrTUlGNNVXJTnilUTU6ebzrRUnKS0cek535I+svR/Uzq7PnK2atmsrLM5Oy6Fd6LqG3S+rwd9bj4ml9X59Dfgpt0lvb1m3ZyaSk7zk+ZXkrt6XaPQeDlKliKNKUqEYui8sZW0lKOuaLvdrM22pXWbW7auuX4ObV/hKcoqjGpKW+bm48lboJZHZavn1b7LWtLhfkioQwsIxirKMauWKXQkqVkfOcqrEYi8aVPR5S20smnfK610z3dR6MuU8PKEYuWiS39ST3b/wDN5UcIH/qcR9t+4qJ70SNpY9VKlSq7Jzk5ZYvNa/Neyv4IrlXzPT9TvowcKcYvVJLgkeOsNUrVJSiua23d5LX3oe6eTChkwSfTK/is3+R2Zz/AnD8Xg6ce1ejyP8ToDZHoJWVgACSQAAAAAAAAAAAAAAAAAAcv5Q3FYGpKaTjGdKUk9zjx0Lp9x1BzfD2MXs/EZleKySklvcY1YSklquZPnQGztZHjWIw+DlSThZVMsc1lO+e8U7Lc1lzttc6jbfrp23sWNGpkjKW6/KsrXlJK615kn3kd4XCyby4mUW3e04SaXJvluuhvLe/zXvuj78n00oOOKjZyjF7oyjGUlFzy5vmq7er0XMVsW+Gqro1Ldz/F2iFxc47pXXf7HoZLENedH1W9pPw+yVN8jFQd3yItvPJfYvyXv0du5am+lsOm7p4mm9OZ31tK6333pc256XZNi6we383Zf2i0+KK+nWT6u2xvj+7GXyVlnKKkmk7KUdz60WFLCNJ+8v8AxGVXkWm84Ta+6uvJorv3qzVUqJb/AHE6WFImIwtk3zk/wmlHkWiunJvwXm/EgVcY9ysiNOs3vZnUptM0uJVxO2GDpUnzIpfnjqYzkWOxKd6tJPnnBdqcldFeoXdi+4O4ZyxFLTzXnf3Vf228SjFXQ/QPB+NsNS6439JuXvLIi7OjalTXRCK/CiUWPOAAAAAAAAAAAAAAAAAAAAABznlA/wBuxf2F/fE6M5ryhf7bivsr++ILQ6SPzrUjqz7TNk48pmyMFoXR7UY7zbSw9y4wWF3aGjBwL7DwUVexo2oK7EpbkbKFNKytdt28US5YfTcY7PSlNttJRTeu660bfQl7iyhOnK2R5uvWy1fUZUm5JyZy4mbi9lbtSlqYaybtu6SLi8Kn5p1NXB3Vnua9pz8rxco2vboW9cz9vgZ1KqhNO+T8v2Th5bcX1r35HNY3DJFRUidRtClzlBiaZ0yOiMrmmhBLlc51fAqjedap9GMYL77cn/ajloJx0Z1XAmr/AD6aavKMWvu5k3+JHNLI48QrRbPd6KtGK6EvYbD4j6WOAAAAAAAAAAAAAAAAAAAAAAFVwjwca2Gq05tqMkk2t6WZO5anM+ULEuls3FSTs3DImt6dSShdekGSr3yPAsQoOTcHmV7KVsra5nl5rrUzilzEWnUu7dKSXakl7jOFez5i8We1CV1Yu8It2pY4iq8tr2KvCVNxKrp63/eqKYmbSViaeU7me08VKFJRWmeWvZBJ2727/dJ3BvHQWk5qNo73JK7zbtd5E2lhnVoJxV5U220t7jLVtdNmvC5VbIoqo5KblorrK1vv1plak1Cm5Xsrao0cYVacovLN38vCx6JicWsqcXdWVmudW0dym2rJqKmrK+v777kdV3aMVe0Ukr77JWI+0sbmyQdrLoPEhGdVuUutd/tHNThGnJJdvA1YmpySixL1LmVJ5NGpFVWo66s9+lK8FcnRuxA6S54J1XHFU0vnKcfwOXtiinq6XJ3B2plxVB/8ij6fI/yKyzMqucWj9JYeV4RfSk/FG0i7Od6VL7Ef7USgjzAAAAAAAAAAAAAAAAAAAAAAcl5TY32bXXTl9UlL3HWnN8M6PG0XRVnnTum7XW61+a93qQ3ZEp2dz8704We9+wkzwqeq0a386LrHcHKlOTUfRnpLua0l26FfiMPOHnxfeml3PcylKtCej7tHweZ3Uq8KnRfdv4DDJK2pazs4p79P37Dn+OLjBVr0/vP3Fq+cDrTzuXWyq2Vda07iU1Tu55IqT3tKzfbbeUkK6gnLuXb+/Yaq2Psrv2MiktqFpIwqQbldMtMRiVuVkuopal5SvzGFPGXd9bLf2bi2jgbvTVd5lXtGzdkisXGmuc7fdlPiMQ47uY0LFqWki7+RKlScnBJrojmem95tNOcjYzgtXTuo+Gb4GkK0Gua8jOOKp7mUlZan3ASy1qcuipB+E0y0w/B6tLku3dmuvu2950mx+CLi1KSaae+dnL7sfm9r17Skq60im32euhWpi4Jc3N9nroev7M/k0/speCJZB2RK9GHUmvBtE43OQAAAAAAAAAAAAAAAAAAAAAFJtak5TzaWiktWk+d7nvLsjTw13fM/UAchXxEJchRVXqUZTXqTRCr8HXUWbiZq/NfJH0Zu68DvVh/rP1fAw/go/Sl4r4FZ04T6ST7kVcU9Uedx4EwerpU7/Wl+WLLGhwQhFWXFxX1c3P15Ts/4GPTLx/QfwMemXivgFCK0RKVtDjZcCqT1nU1s+a9r86vYgT4A0qnm1ppX3ZFLd9mSsz0FYGHW+1mdPDQjrGMU917K+m7XvfiNlE59Zw2B4AUKck5Vc3Uo2frk2u46KnsqhTSSUV91X729S8nBPek+1XMJYeD3xXgFFJ3t777kNZ3K1UILWUvD9TTWoUJc5c8RD6K8Ea6uDhLfFdq0fii9wc9W2fD5k33/ABNEqMoXdS2RfOjOEfG50kdnQXPLvZ9hgoJ3tdrVZnezWqaW6/XvFySNsGTdN3hKHKdlPV9qfP3FqAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/2Q==",https://www.amazon.in/Bayer-Nativo-Systemic-Fungicide-100g/dp/B088GZ287Q/ref=sr_1_2?keywords=NATIVO+FUNGICIDE&qid=1694166473&s=garden&sr=1-2
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.bighaat.com/products/acrobat-fungicide?variant=31177935519767&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://5.imimg.com/data5/SELLER/Default/2023/4/299738030/QF/PU/LP/2062930/new-product-500x500.jpg,https://www.amazon.in/SWASTIK-Thiophanate-Methle-Systematic-Fungicide/dp/B081X87P8W
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQxe-M4vyRx94TlpTOw6tlzvagjvaTRCWRLoKd58JML7T3rSV8GJK67YjxIiR-PHL02DL2CHsHPLzExBf6uq7BqxcLPxgmh9w&usqp=CAE,https://www.bighaat.com/products/omite-insecticide?variant=31276117196823&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
